periodid,area_name,dimname,category,growth_rate,spend_share,growth_contribution
201701,National,age,65+,-0.0310,0.1989,-0.0063
201702,National,age,<25,0.1214,0.0486,0.0054
201702,National,age,25-34,0.0424,0.1677,0.0070
201702,National,age,35-44,0.0161,0.1917,0.0031
201702,National,age,45-54,0.0130,0.2154,0.0028
201702,National,age,55-64,0.0098,0.1834,0.0018
201702,National,age,65+,-0.0062,0.1932,-0.0012
201703,National,age,<25,0.1300,0.0490,0.0058
201703,National,age,25-34,0.0748,0.1657,0.0119
201703,National,age,35-44,0.0425,0.1909,0.0080
201703,National,age,45-54,0.0230,0.2162,0.0050
201703,National,age,55-64,0.0122,0.1828,0.0023
201703,National,age,65+,0.0016,0.1954,0.0003
201704,National,age,<25,0.1573,0.0476,0.0068
201704,National,age,25-34,0.0822,0.1642,0.0130
201704,National,age,35-44,0.0499,0.1911,0.0095
201704,National,age,45-54,0.0392,0.2179,0.0086
201704,National,age,55-64,0.0268,0.1850,0.0050
201704,National,age,65+,0.0056,0.1941,0.0011
201705,National,age,<25,0.1711,0.0521,0.0078
201705,National,age,25-34,0.0738,0.1690,0.0118
201705,National,age,35-44,0.0284,0.1892,0.0053
201705,National,age,45-54,-0.0035,0.2120,-0.0008
201705,National,age,55-64,-0.0201,0.1790,-0.0037
201705,National,age,65+,-0.0024,0.1987,-0.0005
201706,National,age,<25,0.1639,0.0505,0.0072
201706,National,age,25-34,0.0841,0.1668,0.0132
201706,National,age,35-44,0.0340,0.1887,0.0063
201706,National,age,45-54,-0.0027,0.2145,-0.0006
201706,National,age,55-64,-0.0253,0.1805,-0.0048
201706,National,age,65+,-0.0216,0.1991,-0.0045
201707,National,age,<25,0.1295,0.0521,0.0059
201707,National,age,25-34,0.0502,0.1702,0.0081
201707,National,age,35-44,0.0012,0.1892,0.0002
201707,National,age,45-54,-0.0294,0.2130,-0.0064
201707,National,age,55-64,-0.0477,0.1800,-0.0090
201707,National,age,65+,-0.0290,0.1955,-0.0058
201708,National,age,<25,0.1299,0.0538,0.0062
201708,National,age,25-34,0.0579,0.1657,0.0091
201708,National,age,35-44,0.0173,0.1869,0.0032
201708,National,age,45-54,-0.0188,0.2142,-0.0041
201708,National,age,55-64,-0.0341,0.1807,-0.0064
201708,National,age,65+,-0.0222,0.1987,-0.0045
201709,National,age,<25,0.2199,0.0555,0.0105
201709,National,age,25-34,0.1166,0.1706,0.0186
201709,National,age,35-44,0.0606,0.1908,0.0114
201709,National,age,45-54,0.0237,0.2109,0.0051
201709,National,age,55-64,-0.0011,0.1773,-0.0002
201709,National,age,65+,-0.0065,0.1948,-0.0013
201710,National,age,<25,0.1395,0.0549,0.0067
201710,National,age,25-34,0.0401,0.1681,0.0064
201710,National,age,35-44,-0.0025,0.1893,-0.0005
201710,National,age,45-54,-0.0339,0.2096,-0.0073
201710,National,age,55-64,-0.0439,0.1775,-0.0081
201710,National,age,65+,-0.0145,0.2006,-0.0029
201711,National,age,<25,0.1683,0.0541,0.0079
201711,National,age,25-34,0.0698,0.1636,0.0109
201711,National,age,35-44,0.0266,0.1872,0.0049
201711,National,age,45-54,0.0002,0.2115,0.0000
201711,National,age,55-64,-0.0178,0.1804,-0.0033
201711,National,age,65+,-0.0099,0.2031,-0.0021
201310,"Columbus, OH - Metro Area",age,<25,0.1530,0.1334,0.0185
201310,"Chicago, IL - Metro Area",age,<25,0.1862,0.0943,0.0155
201310,"New York, NY - Metro Area",age,<25,0.2981,0.0908,0.0234
201310,"Miami, FL - Metro Area",age,<25,0.1236,0.1418,0.0163
201310,"San Diego, CA - Metro Area",age,<25,0.1575,0.1130,0.0160
201310,"Denver, CO - Metro Area",age,<25,0.1797,0.1079,0.0174
201310,"Los Angeles, CA - Metro Area",age,<25,0.1545,0.1163,0.0162
201310,"San Francisco, CA - Metro Area",age,<25,0.2677,0.0331,0.0074
201310,"Portland, OR - Metro Area",age,<25,0.1807,0.0946,0.0152
201310,"Atlanta, GA - Metro Area",age,<25,-0.0988,0.1374,-0.0138
201310,"Detroit, MI - Metro Area",age,<25,0.1471,0.1266,0.0167
201310,"Dallas, TX - Metro Area",age,<25,0.2884,0.1101,0.0274
201310,"Phoenix, AZ - Metro Area",age,<25,0.1322,0.1522,0.0185
201310,"Houston, TX - Metro Area",age,<25,0.1576,0.1057,0.0153
201310,"Houston, TX - Metro Area",age,25-34,0.0872,0.1642,0.0140
201310,"Dallas, TX - Metro Area",age,25-34,0.1756,0.1612,0.0268
201310,"Phoenix, AZ - Metro Area",age,25-34,0.0441,0.1517,0.0067
201310,"Denver, CO - Metro Area",age,25-34,0.0803,0.1760,0.0138
201310,"Columbus, OH - Metro Area",age,25-34,0.0522,0.1753,0.0091
201310,"San Diego, CA - Metro Area",age,25-34,0.0412,0.1682,0.0069
201310,"Miami, FL - Metro Area",age,25-34,0.0478,0.1403,0.0067
201310,"Chicago, IL - Metro Area",age,25-34,0.0747,0.1560,0.0114
201310,"New York, NY - Metro Area",age,25-34,0.1543,0.1416,0.0212
201310,"Detroit, MI - Metro Area",age,25-34,0.0462,0.1347,0.0061
201310,"Atlanta, GA - Metro Area",age,25-34,-0.1342,0.1604,-0.0228
201310,"Portland, OR - Metro Area",age,25-34,0.0857,0.1474,0.0122
201310,"San Francisco, CA - Metro Area",age,25-34,0.1129,0.1023,0.0110
201310,"Los Angeles, CA - Metro Area",age,25-34,0.0597,0.1703,0.0100
201310,"Los Angeles, CA - Metro Area",age,35-44,0.0352,0.2024,0.0072
201310,"Portland, OR - Metro Area",age,35-44,0.0319,0.2142,0.0070
201310,"San Francisco, CA - Metro Area",age,35-44,0.0677,0.1940,0.0130
201310,"San Diego, CA - Metro Area",age,35-44,0.0220,0.1773,0.0040
201310,"Houston, TX - Metro Area",age,35-44,0.0662,0.2172,0.0143
201310,"Columbus, OH - Metro Area",age,35-44,0.0483,0.1957,0.0094
201310,"Denver, CO - Metro Area",age,35-44,0.0433,0.2069,0.0091
201310,"Dallas, TX - Metro Area",age,35-44,0.1051,0.2246,0.0238
201310,"Phoenix, AZ - Metro Area",age,35-44,0.0273,0.1706,0.0047
201310,"Atlanta, GA - Metro Area",age,35-44,-0.0842,0.2281,-0.0193
201310,"Detroit, MI - Metro Area",age,35-44,0.0154,0.1786,0.0028
201310,"New York, NY - Metro Area",age,35-44,0.1129,0.1948,0.0221
201310,"Chicago, IL - Metro Area",age,35-44,0.0504,0.2113,0.0106
201310,"Miami, FL - Metro Area",age,35-44,0.0192,0.1775,0.0035
201310,"Miami, FL - Metro Area",age,45-54,0.0396,0.1958,0.0078
201310,"New York, NY - Metro Area",age,45-54,0.0895,0.2279,0.0210
201310,"Chicago, IL - Metro Area",age,45-54,0.0314,0.2169,0.0069
201310,"Columbus, OH - Metro Area",age,45-54,0.0223,0.1923,0.0044
201310,"Los Angeles, CA - Metro Area",age,45-54,0.0265,0.2074,0.0056
201310,"Houston, TX - Metro Area",age,45-54,0.0457,0.2042,0.0095
201310,"San Diego, CA - Metro Area",age,45-54,0.0334,0.1902,0.0064
201310,"Portland, OR - Metro Area",age,45-54,0.0307,0.1930,0.0061
201310,"San Francisco, CA - Metro Area",age,45-54,0.0434,0.2328,0.0102
201310,"Detroit, MI - Metro Area",age,45-54,0.0083,0.2085,0.0018
201310,"Atlanta, GA - Metro Area",age,45-54,-0.0659,0.2080,-0.0135
201310,"Phoenix, AZ - Metro Area",age,45-54,0.0120,0.1643,0.0020
201310,"Dallas, TX - Metro Area",age,45-54,0.0820,0.2249,0.0190
201310,"Denver, CO - Metro Area",age,45-54,0.0307,0.1914,0.0060
201310,"Denver, CO - Metro Area",age,55-64,0.0270,0.1617,0.0045
201310,"Phoenix, AZ - Metro Area",age,55-64,0.0157,0.1494,0.0024
201310,"Dallas, TX - Metro Area",age,55-64,0.0595,0.1531,0.0096
201310,"Houston, TX - Metro Area",age,55-64,0.0337,0.1769,0.0061
201310,"Miami, FL - Metro Area",age,55-64,0.0259,0.1383,0.0037
201310,"Los Angeles, CA - Metro Area",age,55-64,0.0168,0.1577,0.0027
201310,"Columbus, OH - Metro Area",age,55-64,0.0196,0.1590,0.0032
201310,"New York, NY - Metro Area",age,55-64,0.0961,0.1711,0.0168
201310,"Chicago, IL - Metro Area",age,55-64,0.0109,0.1655,0.0019
201310,"Atlanta, GA - Metro Area",age,55-64,-0.0592,0.1380,-0.0080
201310,"Detroit, MI - Metro Area",age,55-64,0.0024,0.1723,0.0004
201310,"San Francisco, CA - Metro Area",age,55-64,0.0381,0.2044,0.0079
201310,"Portland, OR - Metro Area",age,55-64,0.0307,0.1776,0.0056
201310,"San Diego, CA - Metro Area",age,55-64,0.0132,0.1702,0.0023
201310,"San Diego, CA - Metro Area",age,65+,0.0434,0.1810,0.0079
201310,"San Francisco, CA - Metro Area",age,65+,0.0337,0.2334,0.0081
201310,"Portland, OR - Metro Area",age,65+,0.0365,0.1731,0.0064
201310,"Phoenix, AZ - Metro Area",age,65+,0.0263,0.2117,0.0056
201310,"Los Angeles, CA - Metro Area",age,65+,0.0177,0.1459,0.0027
201310,"Denver, CO - Metro Area",age,65+,0.0317,0.1561,0.0051
201310,"Miami, FL - Metro Area",age,65+,0.0406,0.2063,0.0084
201310,"Houston, TX - Metro Area",age,65+,0.0207,0.1318,0.0028
